INFO:Worker:Starting Worker
INFO:Worker:Starting Worker
INFO:root:episode     0 complete - reward(new:90397200, avg:87103206, best:556761300)
INFO:root:episode     0 complete - reward(new:77558400, avg:87007758, best:556761300)
INFO:root:episode     0 complete - reward(new:110477800, avg:87242459, best:556761300)
INFO:root:episode     0 complete - reward(new:84294300, avg:87212977, best:556761300)
INFO:root:episode     0 complete - reward(new:8680700, avg:86427654, best:556761300)
INFO:root:episode     0 complete - reward(new:72167600, avg:86285054, best:556761300)
INFO:root:episode     0 complete - reward(new:10083100, avg:85523034, best:556761300)
INFO:root:episode     0 complete - reward(new:194972100, avg:86617525, best:556761300)
INFO:root:episode     0 complete - reward(new:86981700, avg:86621167, best:556761300)
INFO:root:episode     0 complete - reward(new:146000400, avg:87214959, best:556761300)
INFO:root:episode     0 complete - reward(new:79248300, avg:87135292, best:556761300)
INFO:root:episode     0 complete - reward(new:13121100, avg:86395150, best:556761300)
INFO:root:episode     0 complete - reward(new:75931700, avg:86290516, best:556761300)
INFO:root:episode     0 complete - reward(new:7789400, avg:85505505, best:556761300)
INFO:root:episode     0 complete - reward(new:9501800, avg:84745468, best:556761300)
INFO:root:episode     0 complete - reward(new:88266100, avg:84780674, best:556761300)
INFO:root:episode     0 complete - reward(new:80150200, avg:84734369, best:556761300)
INFO:root:episode     0 complete - reward(new:11570800, avg:84002734, best:556761300)
INFO:root:episode     0 complete - reward(new:79670600, avg:83959412, best:556761300)
INFO:root:episode     0 complete - reward(new:43846100, avg:83558279, best:556761300)
INFO:root:episode     0 complete - reward(new:183844000, avg:84561136, best:556761300)
INFO:root:episode     0 complete - reward(new:113921400, avg:84854739, best:556761300)
INFO:root:episode     0 complete - reward(new:48173900, avg:84487931, best:556761300)
INFO:root:episode     0 complete - reward(new:120946100, avg:84852512, best:556761300)
INFO:root:episode     0 complete - reward(new:113553600, avg:85139523, best:556761300)
INFO:root:episode     0 complete - reward(new:233901500, avg:86627143, best:556761300)
INFO:root:episode     0 complete - reward(new:13230900, avg:85893181, best:556761300)
INFO:root:episode     0 complete - reward(new:75202700, avg:85786276, best:556761300)
INFO:root:episode     0 complete - reward(new:53622200, avg:85464635, best:556761300)
INFO:root:episode     0 complete - reward(new:128029700, avg:85890286, best:556761300)
INFO:root:episode     0 complete - reward(new:10644600, avg:85137829, best:556761300)
INFO:root:episode     0 complete - reward(new:87525300, avg:85161704, best:556761300)
INFO:root:episode     0 complete - reward(new:13067800, avg:84440764, best:556761300)
INFO:root:episode     0 complete - reward(new:52414900, avg:84120506, best:556761300)
INFO:root:episode     0 complete - reward(new:214703000, avg:85426331, best:556761300)
INFO:root:episode     0 complete - reward(new:9361400, avg:84665681, best:556761300)
INFO:root:episode     0 complete - reward(new:85888900, avg:84677914, best:556761300)
INFO:root:episode     0 complete - reward(new:75824800, avg:84589383, best:556761300)
INFO:root:episode     0 complete - reward(new:93002900, avg:84673518, best:556761300)
INFO:root:episode     0 complete - reward(new:205415700, avg:85880940, best:556761300)
INFO:root:episode     0 complete - reward(new:76102800, avg:85783158, best:556761300)
INFO:root:episode     0 complete - reward(new:298543800, avg:87910765, best:556761300)
INFO:root:episode     0 complete - reward(new:135876300, avg:88390420, best:556761300)
INFO:root:episode     0 complete - reward(new:177395700, avg:89280473, best:556761300)
INFO:root:episode     0 complete - reward(new:217039800, avg:90558066, best:556761300)
INFO:root:episode     0 complete - reward(new:147228800, avg:91124773, best:556761300)
INFO:root:episode     0 complete - reward(new:114686100, avg:91360387, best:556761300)
INFO:root:episode     0 complete - reward(new:58319000, avg:91029973, best:556761300)
INFO:root:episode     0 complete - reward(new:7017000, avg:90189843, best:556761300)
INFO:root:episode     0 complete - reward(new:74169000, avg:90029635, best:556761300)
INFO:root:episode     0 complete - reward(new:121861100, avg:90347949, best:556761300)
INFO:root:episode     0 complete - reward(new:145603100, avg:90900501, best:556761300)
INFO:root:episode     0 complete - reward(new:5851700, avg:90050013, best:556761300)
INFO:root:episode     0 complete - reward(new:147674800, avg:90626261, best:556761300)
INFO:root:episode     0 complete - reward(new:347832200, avg:93198320, best:556761300)
INFO:root:episode     0 complete - reward(new:60094200, avg:92867279, best:556761300)
INFO:root:episode     0 complete - reward(new:75226000, avg:92690866, best:556761300)
INFO:root:episode     0 complete - reward(new:43884200, avg:92202799, best:556761300)
INFO:root:episode     0 complete - reward(new:313005500, avg:94410826, best:556761300)
INFO:root:episode     0 complete - reward(new:50584100, avg:93972559, best:556761300)
INFO:root:episode     0 complete - reward(new:81733000, avg:93850163, best:556761300)
INFO:root:episode     0 complete - reward(new:16529300, avg:93076955, best:556761300)
INFO:root:episode     0 complete - reward(new:113571200, avg:93281897, best:556761300)
INFO:root:episode     0 complete - reward(new:143133400, avg:93780412, best:556761300)
INFO:root:episode     0 complete - reward(new:148178800, avg:94324396, best:556761300)
INFO:root:episode     0 complete - reward(new:84711800, avg:94228270, best:556761300)
INFO:root:episode     0 complete - reward(new:7039600, avg:93356384, best:556761300)
INFO:root:episode     0 complete - reward(new:50991200, avg:92932732, best:556761300)
INFO:root:episode     0 complete - reward(new:183622900, avg:93839633, best:556761300)
INFO:root:episode     0 complete - reward(new:10462000, avg:93005857, best:556761300)
INFO:root:episode     0 complete - reward(new:117349500, avg:93249293, best:556761300)
INFO:root:episode     0 complete - reward(new:89609900, avg:93212900, best:556761300)
INFO:root:episode     0 complete - reward(new:43601700, avg:92716788, best:556761300)
INFO:root:episode     0 complete - reward(new:76484000, avg:92554460, best:556761300)
INFO:root:episode     0 complete - reward(new:82286400, avg:92451779, best:556761300)
INFO:root:episode     0 complete - reward(new:226015100, avg:93787412, best:556761300)
INFO:root:episode     0 complete - reward(new:88493700, avg:93734475, best:556761300)
INFO:root:episode     0 complete - reward(new:70480500, avg:93501935, best:556761300)
INFO:root:episode     0 complete - reward(new:10757600, avg:92674492, best:556761300)
INFO:root:episode     0 complete - reward(new:48301100, avg:92230758, best:556761300)
INFO:root:episode     0 complete - reward(new:81922400, avg:92127675, best:556761300)
INFO:root:episode     0 complete - reward(new:114440700, avg:92350805, best:556761300)
INFO:root:episode     0 complete - reward(new:56700100, avg:91994298, best:556761300)
INFO:root:episode     0 complete - reward(new:130665000, avg:92381005, best:556761300)
INFO:root:episode     0 complete - reward(new:66378700, avg:92120982, best:556761300)
INFO:root:episode     0 complete - reward(new:39096500, avg:91590737, best:556761300)
INFO:root:episode     0 complete - reward(new:45919000, avg:91134020, best:556761300)
INFO:root:episode     0 complete - reward(new:50978500, avg:90732464, best:556761300)
INFO:root:episode     0 complete - reward(new:9016800, avg:89915308, best:556761300)
INFO:root:episode     0 complete - reward(new:171318500, avg:90729340, best:556761300)
INFO:root:episode     0 complete - reward(new:217089000, avg:91992936, best:556761300)
INFO:root:episode     0 complete - reward(new:193156800, avg:93004575, best:556761300)
INFO:root:episode     0 complete - reward(new:143113500, avg:93505664, best:556761300)
INFO:root:episode     0 complete - reward(new:197837700, avg:94548984, best:556761300)
INFO:root:episode     0 complete - reward(new:14638800, avg:93749883, best:556761300)
INFO:root:episode     0 complete - reward(new:268793000, avg:95500314, best:556761300)
INFO:root:episode     0 complete - reward(new:215069300, avg:96696004, best:556761300)
INFO:root:episode     0 complete - reward(new:103051000, avg:96759554, best:556761300)
INFO:root:episode     0 complete - reward(new:110647700, avg:96898435, best:556761300)
INFO:root:episode     0 complete - reward(new:68021400, avg:96609665, best:556761300)
INFO:root:episode     0 complete - reward(new:78828400, avg:96431852, best:556761300)
INFO:root:episode     0 complete - reward(new:8600100, avg:95553535, best:556761300)
INFO:root:episode     0 complete - reward(new:74557200, avg:95343571, best:556761300)
INFO:root:episode     0 complete - reward(new:13966800, avg:94529804, best:556761300)
INFO:root:episode     0 complete - reward(new:146366800, avg:95048173, best:556761300)
INFO:root:episode     0 complete - reward(new:174362200, avg:95841314, best:556761300)
INFO:root:episode     0 complete - reward(new:307273300, avg:97955634, best:556761300)
INFO:root:episode     0 complete - reward(new:187070500, avg:98846782, best:556761300)
INFO:root:episode     0 complete - reward(new:128773800, avg:99146052, best:556761300)
INFO:root:episode     0 complete - reward(new:255174600, avg:100706338, best:556761300)
INFO:root:episode     0 complete - reward(new:69445400, avg:100393729, best:556761300)
INFO:root:episode     0 complete - reward(new:43544400, avg:99825235, best:556761300)
INFO:root:episode     0 complete - reward(new:89266500, avg:99719648, best:556761300)
INFO:root:episode     0 complete - reward(new:279688600, avg:101519337, best:556761300)
INFO:root:episode     0 complete - reward(new:94325800, avg:101447402, best:556761300)
INFO:root:episode     0 complete - reward(new:78627200, avg:101219200, best:556761300)
INFO:root:episode     0 complete - reward(new:52752400, avg:100734532, best:556761300)
INFO:root:episode     0 complete - reward(new:221904000, avg:101946227, best:556761300)
INFO:root:episode     0 complete - reward(new:119827400, avg:102125038, best:556761300)
INFO:root:episode     0 complete - reward(new:188580500, avg:102989593, best:556761300)
INFO:root:episode     0 complete - reward(new:53643200, avg:102496129, best:556761300)
INFO:root:episode     0 complete - reward(new:127533700, avg:102746505, best:556761300)
